Proteome ID	Organism	Organism ID	Last modified
UP000005627	Torulaspora delbrueckii (strain ATCC 10662 / CBS 1146 / NBRC 0425 / NCYC 2629 / NRRL Y-866) (Yeast) (Candida colliculosa)	1076872	2015-04-01
UP000008153	Leishmania infantum	5671	2015-04-01
UP000007115	Hypocrea virens (strain Gv29-8 / FGSC 10586) (Gliocladium virens) (Trichoderma virens)	413071	2014-10-15
UP000002530	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	330879	2015-04-01
UP000001805	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	367110	2015-04-01
UP000000559	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	237561	2015-04-01
UP000000560	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	227321	2015-04-01
UP000009057	Gibberella zeae (strain PH-1 / ATCC MYA-4620 / FGSC 9075 / NRRL 31084) (Wheat head blight fungus) (Fusarium graminearum)	229533	2015-04-01
UP000000561	Ustilago maydis (strain 521 / FGSC 9021) (Corn smut fungus)	237631	2015-03-15
UP000009058	Magnaporthe oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Pyricularia oryzae)	242507	2015-04-01
UP000019763	Gregarina niphandrodes	110365	2014-10-15
UP000007978	Fusarium pseudograminearum (strain CS3096) (Wheat and barley crown-rot fungus)	1028729	2014-10-15
UP000007974	Thalassiosira oceanica (Marine diatom)	159749	2015-04-01
UP000009009	Saccharomyces cerevisiae x Saccharomyces kudriavzevii (strain VIN7) (Yeast)	1095631	2014-10-15
UP000002149	Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) (Filobasidiella neoformans)	214684	2015-04-01
UP000000437	Danio rerio (Zebrafish) (Brachydanio rerio)	7955	2015-04-01
UP000005408	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	29159	2014-10-15
UP000010422	Pneumocystis jiroveci (strain SE8) (Pneumocystis pneumonia agent)	1209962	2015-02-17
UP000010552	Pteropus alecto (Black flying fox)	9402	2015-04-01
UP000002195	Dictyostelium discoideum (Slime mold)	44689	2015-04-01
UP000001435	Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) (Filobasidiella neoformans)	283643	2015-04-01
UP000005226	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	31033	2015-04-01
UP000010556	Myotis davidii (David's myotis)	225400	2015-04-01
UP000000539	Gallus gallus (Chicken)	9031	2015-04-01
UP000006727	Physcomitrella patens subsp. patens (Moss)	3218	2015-04-01
UP000005220	Kazachstania africana (strain ATCC 22294 / BCRC 22015 / CBS 2517 / CECT 1963 / NBRC 1671 / NRRL Y-8276) (Yeast) (Kluyveromyces africanus)	1071382	2015-04-01
UP000027238	Colletotrichum sublineola (Sorghum anthracnose fungus)	1173701	2015-01-13
UP000006757	Trichosporon asahii var. asahii (strain CBS 8904) (Yeast)	1220162	2014-12-18
UP000006753	Marssonina brunnea f. sp. multigermtubi (strain MB_m1) (Marssonina leaf spot fungus)	1072389	2014-10-15
UP000006769	Entamoeba nuttalli (strain P19) (Amoeba)	1076696	2015-04-01
UP000006352	Fibroporia radiculosa (strain TFFH 294) (Brown rot fungus) (Antrodia radiculosa)	1078123	2015-04-01
UP000012174	Eutypa lata (strain UCR-EL1) (Grapevine dieback disease fungus) (Eutypa armeniacae)	1287681	2014-10-15
UP000009027	Trypanosoma vivax (strain Y486)	1055687	2015-04-01
UP000009022	Trichoplax adhaerens (Trichoplax reptans)	10228	2014-10-15
UP000004810	Wuchereria bancrofti	6293	2014-10-15
UP000006911	Tuber melanosporum (strain Mel28) (Perigord black truffle)	656061	2014-10-15
UP000008854	Schistosoma mansoni (Blood fluke)	6183	2015-01-16
UP000009046	Pediculus humanus subsp. corporis (Body louse)	121224	2014-10-15
UP000006141	Rhodotorula glutinis (strain ATCC 204091 / IIP 30 / MTCC 1151) (Yeast)	1001064	2014-10-15
UP000008513	Neurospora tetrasperma (strain FGSC 2509 / P0656)	510952	2014-10-22
UP000003163	Edhazardia aedis (strain USNM 41457) (Microsporidian parasite)	1003232	2014-10-15
UP000012045	Botryotinia fuckeliana (strain BcDW1) (Noble rot fungus) (Botrytis cinerea)	1290391	2014-10-15
UP000009130	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	9541	2015-01-16
UP000006813	Heterocephalus glaber (Naked mole rat)	10181	2015-04-01
UP000011064	Pseudogymnoascus destructans (strain ATCC MYA-4855 / 20631-21) (Bat white-nose syndrome fungus) (Geomyces destructans)	658429	2014-10-15
UP000009038	Aspergillus niger (strain ATCC 1015 / CBS 113.46 / FGSC A1144 / LSHB Ac4 / NCTC 3858a / NRRL 328 / USDA 3528.7)	380704	2014-10-22
UP000006310	Kazachstania naganishii (strain ATCC MYA-139 / BCRC 22969 / CBS 8797 / CCRC 22969 / KCTC 17520 / NBRC 10181 / NCYC 3082) (Yeast) (Saccharomyces naganishii)	1071383	2015-04-01
UP000012065	Thanatephorus cucumeris (strain AG1-IB / isolate 7/3/14) (Lettuce bottom rot fungus) (Rhizoctonia solani)	1108050	2014-10-22
UP000004994	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	4081	2015-04-01
UP000011085	Magnaporthe oryzae (strain P131) (Rice blast fungus) (Pyricularia oryzae)	1143193	2015-04-01
UP000011086	Magnaporthe oryzae (strain Y34) (Rice blast fungus) (Pyricularia oryzae)	1143189	2015-04-01
UP000011081	Vavraia culicis (isolate floridensis) (Microsporidian parasite)	948595	2014-10-15
UP000011082	Vittaforma corneae (strain ATCC 50505) (Microsporidian parasite) (Nosema corneum)	993615	2014-10-15
UP000002753	Saccharomyces kudriavzevii (strain ATCC MYA-4449 / AS 2.2408 / CBS 8840 / NBRC 1802 / NCYC 2889) (Yeast)	226230	2015-04-01
UP000005666	Tetrapisispora phaffii (strain ATCC 24235 / CBS 4417 / NBRC 1672 / NRRL Y-8282 / UCD 70-5) (Yeast) (Fabospora phaffii)	1071381	2015-04-01
UP000007819	Acyrthosiphon pisum (Pea aphid)	7029	2015-04-01
